Year,level_1,"Total_food_supply_quantity, kg",Entity,Code,Nutrient nitrogen N (total) used per area of cropland in kg per hectare,Nutrient phosphate P2O5 (total) used per area of cropland in kg per hectare,Nutrient potash K2O (total) used per area of cropland in kg per hectare,Total fertilizer use per area of cropland in kg per hectare,Pesticides used per area of cropland in kg per hectare,Number of deaths from digestive diseases,"Total_food_supply_quality, kcal/capita/day"
1997,1727,490.4,Kuwait,KWT,171.429992675781,0.0,0.0,171.429992675781,2.85999989509582,125.0,1646
1997,3260,489.5,Tunisia,TUN,10.4700002670288,8.14000034332275,1.01999998092651,19.63000059127806,0.180000007152557,1398.0,2133
1998,1814,715.4,Lebanon,LBN,71.7799987792968,98.1600036621093,25.4599990844726,195.4000015258787,5.57000017166137,624.0,2009
1998,1192,652.24,Greece,GRC,75.2200012207031,30.9099998474121,15.4600000381469,121.5900011062621,2.75999999046325,2890.0,1580
1998,1162,649.84,Ghana,GHA,1.27999997138977,0.639999985694885,0.75,2.669999957084655,0.050000000745058,7397.0,2058
1998,2722,631.3199999999999,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.150000005960464,3971.0,1572
1998,1522,584.9,Israel,ISR,145.580001831054,54.8899993896484,88.3099975585937,288.7799987792961,5.94999980926513,1417.0,1712
1998,2664,578.8,Portugal,PRT,52.2299995422363,28.3099994659423,19.9400005340576,100.4799995422362,5.73999977111816,5254.0,1543
1998,869,547.92,Egypt,EGY,311.079986572265,39.4500007629394,8.75,359.2799873352044,1.45000004768371,45401.0,2624
1998,3261,518.7,Tunisia,TUN,12.789999961853,9.0,1.21000003814697,22.999999999999968,0.239999994635581,1432.0,2158
1998,1552,512.81,Italy,ITA,75.870002746582,45.6100006103515,35.4700012207031,156.9500045776366,7.55000019073486,28460.0,1600
1998,1728,510.37,Kuwait,KWT,142.860000610351,0.0,0.0,142.860000610351,4.57000017166137,127.0,1695
1999,1815,720.9100000000001,Lebanon,LBN,83.0199966430664,120.75,36.599998474121,240.3699951171874,6.84999990463256,637.0,1981
1999,1193,709.12,Greece,GRC,75.1900024414062,30.75,15.25,121.1900024414062,2.49000000953674,2904.0,1667
1999,1163,656.15,Ghana,GHA,1.37000000476837,0.720000028610229,0.550000011920929,2.6400000452995283,0.0199999995529651,7483.0,2081
1999,2723,646.15,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.140000000596046,3812.0,1582
1999,1523,605.79,Israel,ISR,105.26000213623,35.8899993896484,71.7699966430664,212.9199981689448,7.11999988555908,1473.0,1691
1999,870,569.13,Egypt,EGY,282.630004882812,43.099998474121,12.9200000762939,338.65000343322686,1.37999999523162,45948.0,2627
1999,2665,548.52,Portugal,PRT,49.4599990844726,28.4400005340576,19.7900009155273,97.6900005340575,6.34999990463256,5208.0,1508
1999,1553,538.8,Italy,ITA,75.9899978637695,45.0,35.2000007629394,156.1899986267089,7.13999986648559,28052.0,1624
1999,3262,522.0,Tunisia,TUN,12.9600000381469,8.57999992370605,0.839999973773956,22.379999935626905,0.239999994635581,1461.0,2136
1999,1729,506.4,Kuwait,KWT,137.5,0.0,0.0,137.5,4.0,144.0,1752
2000,1194,705.4100000000001,Greece,GRC,73.9499969482421,29.3199996948242,15.0500001907348,118.3199968338011,2.75999999046325,2919.0,1673
2000,1816,654.0799999999999,Lebanon,LBN,90.0,68.1500015258789,35.4000015258789,193.5500030517578,6.73000001907348,648.0,1934
2000,2724,650.66,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.129999995231628,3648.0,1706
2000,1164,643.3199999999999,Ghana,GHA,1.15999996662139,0.449999988079071,0.349999994039535,1.959999948739996,0.0099999997764825,7567.0,2102
2000,1524,580.87,Israel,ISR,115.569999694824,35.3800010681152,70.75,221.7000007629392,8.15999984741211,1487.0,1680
2000,871,579.6,Egypt,EGY,326.170013427734,46.75,9.86999988555908,382.79001331329306,1.5,45486.0,2625
2000,1554,562.59,Italy,ITA,73.3799972534179,44.6699981689453,35.4500007629394,153.4999961853026,7.03999996185302,27593.0,1638
2000,608,529.8000000000001,China,CHN,170.25,66.2099990844726,26.6800003051757,263.1399993896483,9.84000015258789,302427.0,2009
2000,3263,518.46,Tunisia,TUN,12.4399995803833,9.02000045776367,0.839999973773956,22.30000001192093,0.280000001192092,1490.0,2085
2000,2666,518.36,Portugal,PRT,44.5,24.8099994659423,16.9300003051757,86.239999771118,6.09000015258789,5111.0,1497
2001,1195,701.8399999999999,Greece,GRC,67.7600021362304,29.3400001525878,14.8000001907348,111.900002479553,2.77999997138977,2901.0,1682
2001,1165,655.8399999999999,Ghana,GHA,2.27999997138977,1.37999999523162,1.33000004291534,4.99000000953673,0.0099999997764825,7712.0,2182
2001,2725,635.03,Rwanda,RWA,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.2399999946355818,0.0599999986588954,3490.0,1740
2001,1817,625.0699999999999,Lebanon,LBN,112.910003662109,74.2200012207031,35.599998474121,222.7300033569331,6.90000009536743,662.0,1940
2001,1525,599.46,Israel,ISR,106.33999633789,25.1200008392334,78.4000015258789,209.8599987030023,9.26000022888183,1486.0,1746
2001,872,568.44,Egypt,EGY,329.239990234375,46.7999992370605,15.9099998474121,391.9499893188476,1.50999999046325,47573.0,2652
2001,609,541.9399999999999,China,CHN,171.649993896484,68.0299987792968,30.8999996185302,270.579992294311,9.76000022888183,304363.0,2001
2001,2667,528.83,Portugal,PRT,42.7299995422363,25.7199993133544,17.8400001525878,86.28999900817851,6.42999982833862,5107.0,1480
2001,1555,513.27,Italy,ITA,69.4199981689453,33.1899986267089,23.6299991607666,126.2399959564208,6.82000017166137,27344.0,1613
2001,3296,511.89,Uganda,UGA,0.509999990463256,0.129999995231628,0.129999995231628,0.7699999809265119,0.0099999997764825,7028.0,1822
2002,2726,738.49,Rwanda,RWA,0.639999985694885,0.579999983310699,0.569999992847442,1.789999961853026,0.0799999982118606,3445.0,1930
2002,1196,677.3,Greece,GRC,70.7200012207031,31.329999923706,8.42000007629394,110.47000122070304,3.07999992370605,2905.0,1678
2002,1166,664.0899999999999,Ghana,GHA,0.680000007152557,0.0199999995529651,1.76999998092651,2.469999987632032,0.0099999997764825,7820.0,2207
2002,1526,616.8199999999999,Israel,ISR,103.230003356933,26.7900009155273,72.9800033569336,203.0000076293939,10.2200002670288,1530.0,1795
2002,1818,616.78,Lebanon,LBN,73.2300033569336,23.6100006103515,29.5200004577636,126.3600044250487,6.69999980926513,675.0,1894
2002,873,576.91,Egypt,EGY,336.239990234375,40.7700004577636,12.5900001525878,389.5999908447264,1.5,49415.0,2678
2002,610,560.4,China,CHN,190.820007324218,78.0,36.2200012207031,305.0400085449211,10.0,308400.0,1997
2002,2804,546.33,Samoa,WSM,0.0900000035762786,0.0700000002980232,0.0700000002980232,0.230000004172325,0.409999996423721,47.0,1575
2002,3265,511.49,Tunisia,TUN,11.4099998474121,8.35000038146972,1.01999998092651,20.78000020980833,0.239999994635581,1553.0,2028
2002,3297,508.42,Uganda,UGA,0.469999998807907,0.280000001192092,0.219999998807907,0.969999998807906,0.0099999997764825,7027.0,1836
2003,2727,697.4000000000001,Rwanda,RWA,0.649999976158142,0.589999973773956,0.579999983310699,1.819999933242797,0.100000001490116,3406.0,1834
2003,1197,691.72,Greece,GRC,74.0699996948242,28.3500003814697,11.9399995803833,114.3599996566772,2.90000009536743,2914.0,1674
2003,1167,666.11,Ghana,GHA,1.30999994277954,0.430000007152557,2.64000010490417,4.380000054836267,0.0199999995529651,7915.0,2256
2003,1819,612.69,Lebanon,LBN,85.2099990844726,0.0,29.8500003814697,115.0599994659423,6.55999994277954,690.0,1834
2003,1527,580.0799999999999,Israel,ISR,119.519996643066,28.329999923706,77.1399993896484,224.9899959564204,11.6899995803833,1551.0,1725
2003,874,578.75,Egypt,EGY,349.309997558593,42.2099990844726,15.6599998474121,407.1799964904777,1.53999996185302,51576.0,2632
2003,611,560.0500000000001,China,CHN,191.149993896484,73.2200012207031,35.3600006103515,299.7299957275386,10.0500001907348,312770.0,1967
2003,2805,546.3599999999999,Samoa,WSM,0.170000001788139,0.289999991655349,0.11999999731779,0.5799999907612781,0.569999992847442,47.0,1599
2003,2699,544.53,Romania,ROU,25.6200008392334,9.65999984741211,1.52999997138977,36.81000065803528,0.699999988079071,15665.0,1793
2003,3266,534.7,Tunisia,TUN,12.1700000762939,9.13000011444091,1.12000000476837,22.42000019550318,0.259999990463256,1587.0,2075
2004,1198,738.5400000000001,Greece,GRC,59.8400001525878,41.599998474121,21.8799991607666,123.3199977874754,3.07999992370605,2904.0,1729
2004,2728,682.84,Rwanda,RWA,0.519999980926513,0.46000000834465,0.519999980926513,1.499999970197676,0.11999999731779,3401.0,1791
2004,1168,665.09,Ghana,GHA,0.879999995231628,0.560000002384185,6.73999977111816,8.179999768733973,0.0199999995529651,8023.0,2243
2004,1528,626.9000000000001,Israel,ISR,137.710006713867,33.3800010681152,91.1999969482421,262.29000473022427,14.1800003051757,1571.0,1812
2004,1820,609.01,Lebanon,LBN,89.5999984741211,0.0,35.0800018310546,124.6800003051757,6.53000020980835,705.0,1819
2004,875,582.7,Egypt,EGY,394.739990234375,55.2000007629394,11.5,461.4399909973144,1.53999996185302,51941.0,2600
2004,2806,569.8,Samoa,WSM,0.349999994039535,0.349999994039535,0.300000011920928,0.999999999999998,0.730000019073486,48.0,1626
2004,612,569.75,China,CHN,198.110000610351,81.0299987792968,41.2000007629394,320.3400001525872,10.4700002670288,318172.0,1971
2004,1558,568.4000000000001,Italy,ITA,82.2900009155273,30.2000007629394,24.9899997711181,137.4800014495848,7.96000003814697,26127.0,1634
2004,2670,564.97,Portugal,PRT,39.3300018310546,22.7900009155273,15.6400003433227,77.7600030899046,7.57000017166137,4940.0,1508
2005,2729,700.04,Rwanda,RWA,0.910000026226043,0.819999992847442,0.819999992847442,2.550000011920927,0.170000001788139,3342.0,1851
2005,1199,673.99,Greece,GRC,54.0,32.9900016784668,13.0100002288818,100.0000019073486,3.20000004768371,2924.0,1620
2005,1169,667.15,Ghana,GHA,1.74000000953674,0.990000009536743,1.02999997138977,3.759999990463253,0.0299999993294477,8145.0,2286
2005,1529,609.87,Israel,ISR,128.25,31.0100002288818,79.8899993896484,239.14999961853025,15.4499998092651,1613.0,1851
2005,876,602.1,Egypt,EGY,371.559997558593,51.3800010681152,13.619999885559,436.5599985122672,1.54999995231628,51646.0,2636
2005,1821,587.99,Lebanon,LBN,51.6100006103515,0.0,26.0699996948242,77.6800003051757,6.42000007629394,722.0,1805
2005,613,578.76,China,CHN,200.259994506835,86.4100036621093,53.599998474121,340.26999664306527,10.9799995422363,314833.0,1969
2005,150,563.98,Armenia,ARM,20.2999992370605,0.0700000002980232,0.0799999982118606,20.449999235570385,0.439999997615814,1277.0,1616
2005,2807,558.85,Samoa,WSM,0.319999992847442,0.340000003576278,0.319999992847442,0.979999989271162,0.9200000166893,48.0,1568
2005,1559,547.9200000000001,Italy,ITA,77.4800033569336,27.6000003814697,24.2199993133544,129.3000030517577,8.1899995803833,26031.0,1596
2006,2730,684.68,Rwanda,RWA,0.439999997615814,1.12999999523162,1.30999994277954,2.879999935626974,0.209999993443489,3282.0,1825
2006,1170,668.69,Ghana,GHA,4.80000019073486,2.42000007629394,6.17999982833862,13.40000009536742,0.11999999731779,8246.0,2325
2006,1200,621.31,Greece,GRC,46.3800010681152,23.1399993896484,17.0,86.5200004577636,2.01999998092651,2958.0,1522
2006,877,618.64,Egypt,EGY,350.690002441406,67.9300003051757,13.869999885559,432.4900026321407,2.76999998092651,51771.0,2661
2006,151,612.5,Armenia,ARM,114.900001525878,0.0,0.0,114.900001525878,0.449999988079071,1419.0,1673
2006,614,574.6800000000001,China,CHN,203.919998168945,89.1500015258789,46.349998474121,339.41999816894486,11.5,305990.0,1929
2006,239,572.92,Azerbaijan,AZE,9.86999988555908,1.01999998092651,1.01999998092651,11.9099998474121,0.0700000002980232,3608.0,2238
2006,2808,569.26,Samoa,WSM,0.25,0.219999998807907,0.189999997615814,0.659999996423721,1.12999999523162,49.0,1596
2006,1530,554.94,Israel,ISR,127.410003662109,32.7299995422363,87.7099990844726,247.8500022888179,17.0699996948242,1631.0,1856
2006,2102,547.56,Montenegro,MNE,126.489997863769,57.4199981689453,52.9099998474121,236.8199958801264,0.0099999997764825,151.0,1535
2007,1171,694.9,Ghana,GHA,4.17999982833862,2.15000009536743,5.98000001907348,12.30999994277953,0.0199999995529651,8334.0,2335
2007,2731,668.47,Rwanda,RWA,1.88999998569488,3.10999989509582,1.47000002861022,6.46999990940092,0.289999991655349,3260.0,1838
2007,1201,638.65,Greece,GRC,36.9000015258789,15.6400003433227,14.6700000762939,67.2100019454955,1.98000001907348,3061.0,1538
2007,878,626.22,Egypt,EGY,316.559997558593,47.8800010681152,14.6999998092651,379.13999843597327,2.56999993324279,52118.0,2676
2007,152,623.75,Armenia,ARM,52.9700012207031,0.0,0.0199999995529651,52.99000122025606,0.479999989271163,1464.0,1582
2007,2103,619.42,Montenegro,MNE,101.08999633789,49.7099990844726,47.1599998474121,197.9599952697747,0.0099999997764825,152.0,1667
2007,615,585.89,China,CHN,208.509994506835,76.7200012207031,62.0400009155273,347.2699966430654,12.0900001525878,297567.0,1933
2007,2809,583.7,Samoa,WSM,0.46000000834465,0.319999992847442,0.319999992847442,1.099999994039534,1.33000004291534,49.0,1620
2007,240,570.81,Azerbaijan,AZE,8.06999969482421,0.639999985694885,0.77999997138977,9.489999651908866,0.0700000002980232,3597.0,2230
2007,1823,564.65,Lebanon,LBN,52.1199989318847,0.0,31.6599998474121,83.7799987792968,6.55000019073486,758.0,1755
2008,2104,723.0799999999999,Montenegro,MNE,96.0,47.8899993896484,42.3600006103515,186.24999999999991,0.0099999997764825,152.0,1725
2008,1172,707.74,Ghana,GHA,3.0,1.62000000476837,6.07000017166137,10.69000017642974,0.0599999986588954,8378.0,2448
2008,2732,675.03,Rwanda,RWA,2.04999995231628,3.16000008583068,2.66000008583068,7.87000012397764,0.239999994635581,3240.0,1893
2008,153,640.71,Armenia,ARM,48.2400016784668,0.050000000745058,0.0700000002980232,48.36000167950988,0.430000007152557,1557.0,1622
2008,879,640.46,Egypt,EGY,321.600006103515,50.9300003051757,15.5299997329711,388.0600061416618,2.69000005722045,53614.0,2711
2008,616,609.64,China,CHN,210.630004882812,79.5899963378906,44.8400001525878,335.06000137329033,12.4099998474121,292928.0,1975
2008,1202,604.94,Greece,GRC,47.3800010681152,18.5,16.4899997711181,82.37000083923331,1.38999998569488,3090.0,1520
2008,2810,591.9,Samoa,WSM,0.560000002384185,0.5,0.469999998807907,1.530000001192092,1.62999999523162,50.0,1640
2008,241,562.8199999999999,Azerbaijan,AZE,14.2100000381469,2.89000010490417,1.55999994277954,18.66000008583061,0.129999995231628,3588.0,2264
2008,3271,556.02,Tunisia,TUN,14.6000003814697,7.34000015258789,1.02999997138977,22.97000050544736,0.349999994039535,1744.0,2070
2009,1173,729.9200000000001,Ghana,GHA,3.5,5.55000019073486,5.40000009536743,14.45000028610229,0.0599999986588954,8487.0,2544
2009,2733,720.4300000000001,Rwanda,RWA,0.389999985694885,0.330000013113021,0.330000013113021,1.050000011920927,0.870000004768371,3212.0,1951
2009,2105,718.8199999999999,Montenegro,MNE,79.2600021362304,34.1300010681152,29.2600002288818,142.6500034332274,0.0099999997764825,153.0,1722
2009,880,653.72,Egypt,EGY,323.450012207031,40.6599998474121,13.5500001907348,377.66001224517794,2.44000005722045,55290.0,2716
2009,154,642.45,Armenia,ARM,78.7099990844726,0.0,0.0099999997764825,78.71999908424908,0.389999985694885,1617.0,1562
2009,1203,627.84,Greece,GRC,30.9699993133544,7.01000022888183,5.6100001335144,43.58999967575063,0.9200000166893,3132.0,1534
2009,617,614.88,China,CHN,213.919998168945,94.5500030517578,35.7900009155273,344.26000213623007,12.619999885559,288756.0,1963
2009,2811,601.31,Samoa,WSM,0.370000004768371,0.430000007152557,0.370000004768371,1.1700000166892992,1.94000005722045,50.0,1639
2009,3272,572.3,Tunisia,TUN,15.8000001907348,9.7200002670288,1.00999999046325,26.53000044822685,0.300000011920928,1781.0,2169
2009,1563,563.97,Italy,ITA,53.8199996948242,17.9400005340576,15.9600000381469,87.7200002670287,7.76000022888183,26720.0,1646
2010,1174,741.46,Ghana,GHA,4.17000007629394,4.1599998474121,6.17000007629394,14.49999999999998,0.230000004172325,8647.0,2535
2010,618,669.32,China,CHN,218.320007324218,105.419998168945,53.9199981689453,377.6600036621084,13.0,285663.0,2046
2010,881,624.75,Egypt,EGY,315.640014648437,40.9399986267089,13.8900003433227,370.4700136184686,3.16000008583068,56588.0,2704
